"No.","Time","Source","Destination","Protocol","Length","Info"
"114","2.457250","IntelCor_3d:81:c3","Broadcast","ARP","60","Who has 172.16.83.161? Tell 172.16.85.230"
"115","2.457250","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.84.175? Tell 172.16.80.1"
"116","2.457250","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.83.218? Tell 172.16.80.1"
"117","2.457250","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.85.198? Tell 172.16.80.1"
"118","2.457250","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.85.134? Tell 172.16.80.1"
"119","2.457250","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.83.27? Tell 172.16.80.1"
"120","2.457250","172.16.83.200","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"121","2.457250","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.80.183? Tell 172.16.80.1"
"122","2.457250","172.16.86.168","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"123","2.519605","172.16.80.141","172.16.139.109","TCP","66","56087  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"124","2.661623","IntelCor_f6:08:e2","Broadcast","ARP","60","Who has 169.254.255.255? Tell 172.16.83.88"
"125","2.661623","172.16.84.30","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"126","2.661623","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.80.151? Tell 172.16.80.1"
"127","2.661623","IntelCor_7f:46:80","Broadcast","ARP","60","Who has 172.16.80.1? Tell 172.16.83.199"
"128","2.661623","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.86.106? Tell 172.16.80.1"
"129","2.866581","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.83.48? Tell 172.16.80.1"
"130","2.866581","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.80.117? Tell 172.16.80.1"
"131","2.866581","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.80.64? Tell 172.16.80.1"
"132","2.866581","172.16.83.88","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"133","2.866581","IntelCor_f6:08:e2","Broadcast","ARP","60","Who has 172.16.81.161? Tell 172.16.83.88"
"134","2.866581","172.16.80.206","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"135","2.866581","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.87.99? Tell 172.16.80.1"
"136","3.071333","1e:5c:24:b9:d8:b2","Broadcast","ARP","60","Who has 172.17.56.1? Tell 172.17.60.28"
"137","3.071333","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.86.50? Tell 172.16.80.1"
"138","3.071333","172.16.84.81","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"139","3.071333","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.86.185? Tell 172.16.80.1"
"140","3.071333","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.87.128? Tell 172.16.80.1"
"141","3.071333","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.80.227? Tell 172.16.80.1"
"142","3.071333","IntelCor_ad:82:84","Broadcast","ARP","60","Who has 169.254.169.254? Tell 172.16.84.215"
"143","3.276361","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.87.65? Tell 172.16.80.1"
"144","3.276361","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.86.139? Tell 172.16.80.1"
"145","3.276361","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.87.180? Tell 172.16.80.1"
"146","3.276361","172.16.82.136","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"147","3.276361","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.86.194? Tell 172.16.80.1"
"148","3.276361","IntelCor_87:60:cc","Broadcast","ARP","42","Who has 172.16.81.79? Tell 172.16.87.243"
"149","3.276361","172.16.80.160","172.16.87.255","UDP","305","54915  >  54915 Len=263"
